song,year,artist,genre,lyrics
h-o-w,2007,fall,Metal,treat visit coastal pillbox like delv destruct lust debauch one stamp age monolith black ice corner hiss hiss hiss one damp stone hold time induc jet train lead paint stamp border form misread easter island put butter plagu style spin complet revolut bat eyelid alter tree ring ever find surfeit lumber make imagin hunger bread tree spin drip butter inch higher upstretch middl finger histori place minut dust microchip vessel dare think scienc immort one strike stretch time bracket assum maladjust rigid adopt code concoct treat visit coastal pillbox show hideou microscop thingi hovi set london psoriasi stock joke 1780 histori like delv destruct lust debauch one stamp age histori world
copped-it,2007,fall,Metal,said millionair spent money one ever seen gon chang scene one day suppos say hey hey hey hey get far land immov frog get far home horribl hoax last long diet tea toast hey hey hey sing song caus cop babi steal confess confess bring detractor keep shtum bring dough attract costello idea trenchant borrow new song benefactor past tomorrow sing sing song sing song caus cop babi last long gun behind aura despar boot licker hang cuff girl sing song caus cop babi take polici love destruct oper vexat say real real gone know cop one way
medical-acceptance-gate,2007,fall,Metal,work futur salari nightshift spald street respect worth front gate sunday night stood man tall twist back spoke loud said come grill wall contain crowd twist shape call laundri post remind origin criss cross fenc avenu paid nh need patient mortgag fee medic prank wont fix quartz chip repair broken kind kind born mousey brain twist kin bitter world viciou dream ec1 lapland girl green purs tall chast induc porter went move man got back practic time hand went man made liquid pitch leg two propel stick crisscross fenc post eye mouth red like twist reich mouth like twist knife wreak bleach hospit wreak bleach hospit porter swear true wreak bleach hospit porter swear true drink much brown white hut thing cling accept gate thing cling accept gate thing cling accept gate thing cling medic accept gate nobodi say seen bounc young md dedic fight diseas fight diseas diseas diseas
the-legend-of-xanadu,2007,fall,Metal,legisl wrong encouag hear word wind cross sand return black barren land bear name xanadu first without hope love saw lost start jewel nestl heart xanadu footprint leav trace shadow move place use build open sky echo sky show love day soon pass away xanadu xanadu holiday xanadu xanadu xanadu man laid life love clear eye ever fill pain grief ever give one man whole wide world left find way back black barren land bear name xanadu hear voic cross wind sand return xanadu xanadu xanadu xanadu
overture-from-i-am-curious-orange,2007,fall,Metal,kuriou oranj kuriou oranj ye ye bad news girl bad news girl hip hip hip hip hip bremen nacht frenz annabel lie
hexen-definitive-strife-knot,2007,fall,Metal,tie post blindfold feel maintain kickback art thou thick death dimwit businessman hit train businessman hit train veil sex seep manag sloth journey take one hour hexen hour hexen school hexen curs hexen bowl boil hexen rule explain mood harm ddr scene alpin pullov alpin give clutch toe drive insan know noth domain confus someon someth say caus hexen rain hexen fodder hexen curs hexen bowl boil hexen rule explain mood harm greenpeac look like saffron realm brown shrivel kellog peac opposit red church hill red church hill styrofoam insid aluminium tier loui armstrong tape waft aisl hexen hour hexen file hexen rule hexen bowl boil hexen rule hour fall take grace play second fiddl well cap emblazon crusti knife ate goe pat head strife knot strife ker strife life forget strife life wan hear could thirteen thirti one mob could thirteen thirti one mob strife knot strife ker life strife wan hear strife life follow sinist time pine pullov clutch toe drive insan know noth domain confus someon someth say green peac look like saffron realm brown dishevel kellog home red church hill styrofoam insid aluminum tier loui armstrong tape waft aisl synthes strife knot take grace play second fiddl well life strife forget life strife said strife life want hear biggest bed hold mask death
disney-s-dream-debased,2007,fall,Metal,day dream went right back base blood ground blood sand blood around track ride bright murder hawk day dream debas went home peopl mill adrenalin rail everyth stop nurs climb face pale doubt two way day disney dream debas saw mous flap wife told told gone know extent show peopl mouth ride disney dopey mickey brer pluto secretli pray doubt two way day disney dream debas disney dark glass western union man gate dream innoc meet fate far away appalachia citi hate day doubt mayb day dream debas disney rememb back mind tune wrote fallen dream anthem creator stop doubt two way day dream debas
last-chance-to-turn-around,2007,fall,Metal,got keep wheel mine roll burn highway last night girl mine left yearn best start learn see thing way hit first time gon turn around leav love behind get town back turn round last exit brooklyn last chanc turn around last exit brooklyn gon keep old wheel go cover ground last night girl mine left tri lie deceiv tear wiper would better believ said mine alon know otherwis thought mine alon saw guy want back past last exit brooklyn last chanc turn around last exit brooklyn last chanc turn around said mine alon saw guy reason pass last last exit brooklyn last chanc turn around
bremen-nacht,2007,fall,Metal,someth happen bremen know someth want someth ceil mutter someth steel shutter underlin usual time align casual set list align know right room usual piss first asham bruis wrist annoy skin patch back acquit bremen nacht ich leav real quick da bremen nacht ich rausum mach au bremen nacht ich rausum mach da bremen nacht rau mach schnell au da bremen nicht ich au schnell mach sa bremen nacht ich mach schnell pack und au da bremen nacht ich rau schnell mach von bremen nacht child four finger bruis hip meant one day possess right bremen nacht right bremen tag sunlit bremen day tonsil size train station hof could one way fail impress drink door lay one day possess ich rausum mach au bremen nacht thank god skin patch nearli gone impress finger dead disappear left alon one night didna put jackboot want end reflect still though gone long long long time gone spirit accid back come bremen nacht back come bremen nacht
deadbeat-descendant,2007,fall,Metal,shout danc pure hell enter peril take five dead beat step stroll act like got outta jail must repel danc dead beat descend dead beat descend shout come back come back turn left shout shout come back hot tail right outta descend descend dead beat descend shout make head bell got man trail descend viciou crimin dead beat descend dawn dawn dawn
